Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngnap,Partner doing last 7 days: no answer,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,mnactp,Partner's main activity last 7 days,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,crpdwkp,"Partner, control paid work last 7 days",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,isco08p,"Occupation partner, ISCO08",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,emprelp,Partner's employment relation,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wkhtotp,"Hours normally worked a week in main job overtime included, partner",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edulvlfb,Father's highest level of education,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,eiscedf,"Father's highest level of education, ES - ISCED",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 11",Socio-demographics,edlvfeat,"Father's highest level of education, Austria",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,edlvfebe,"Father's highest level of education, Belgium",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edlvfehr,"Father's highest level of education, Croatia",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvfgcy,"Father's highest level of education, Cyprus",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvfdfi,"Father's highest level of education, Finland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvfdfr,"Father's highest level of education, France",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edufcde1,"Father's highest level of education, Germany: höchster allgemeinbildender Schulabschluss",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edufbde2,"Father's highest level of education, Germany: höchster Studienabschluss",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvfegr,"Father's highest level of education, Greece",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvfdahu,"Father's highest level of education, Hungary",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 8, 9, 10, 11",Socio-demographics,edlvfdis,"Father's highest level of education, Iceland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvfdie,"Father's highest level of education, Ireland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvffit,"Father's highest level of education, Italy",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvfdlt,"Father's highest level of education, Lithuania",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 10, 11",Socio-demographics,edlvfenl,"Father's highest level of education, Netherlands",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvfeno,"Father's highest level of education, Norway",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvfgpl,"Father's highest level of education, Poland",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvfept,"Father's highest level of education, Portugal",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvfdrs,"Father's highest level of education, Serbia",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 9, 10, 11",Socio-demographics,edlvfdsk,"Father's highest level of education, Slovakia",Parents' education and employment status,"Belgium, Cyprus, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Socio-demographics,edlvfesi,"Father's highest level of education, Slovenia",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvfges,"Father's highest level of education, Spain",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Socio-demographics,edlvfdse,"Father's highest level of education, Sweden",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvfdch,"Father's highest level of education, Switzerland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edufcgb1,"Father's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edufbgb2,"Father's highest level of education, United Kingdom: Up to Ph.D or equivalent",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edagefgb,"Father's age when completed full time education, United Kingdom",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,emprf14,Father's employment status when respondent 14,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,occf14b,Father's occupation when respondent 14,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edulvlmb,Mother's highest level of education,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,eiscedm,"Mother's highest level of education, ES - ISCED",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 11",Socio-demographics,edlvmeat,"Mother's highest level of education, Austria",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,edlvmebe,"Mother's highest level of education, Belgium",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edlvmehr,"Mother's highest level of education, Croatia",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvmgcy,"Mother's highest level of education, Cyprus",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvmdfi,"Mother's highest level of education, Finland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvmdfr,"Mother's highest level of education, France",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edumcde1,"Mother's highest level of education, Germany: höchster allgemeinbildender Schulabschluss",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edumbde2,"Mother's highest level of education, Germany: höchster Studienabschluss",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvmegr,"Mother's highest level of education, Greece",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvmdahu,"Mother's highest level of education, Hungary",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 8, 9, 10, 11",Socio-demographics,edlvmdis,"Mother's highest level of education, Iceland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvmdie,"Mother's highest level of education, Ireland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvmfit,"Mother's highest level of education, Italy",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvmdlt,"Mother's highest level of education, Lithuania",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 10, 11",Socio-demographics,edlvmenl,"Mother's highest level of education, Netherlands",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvmeno,"Mother's highest level of education, Norway",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvmgpl,"Mother's highest level of education, Poland",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvmept,"Mother's highest level of education, Portugal",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvmdrs,"Mother's highest level of education, Serbia",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 9, 10, 11",Socio-demographics,edlvmdsk,"Mother's highest level of education, Slovakia",Parents' education and employment status,"Belgium, Cyprus, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Socio-demographics,edlvmesi,"Mother's highest level of education, Slovenia",Parents' education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvmges,"Mother's highest level of education, Spain",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Socio-demographics,edlvmdse,"Mother's highest level of education, Sweden",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvmdch,"Mother's highest level of education, Switzerland",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edumcgb1,"Mother's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edumbgb2,"Mother's highest level of education, United Kingdom: Up to Ph.D or equivalent",Parents' education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edagemgb,"Mother's age when completed full time education, United Kingdom",Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,emprm14,Mother's employment status when respondent 14,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,occm14b,Mother's occupation when respondent 14,Parents' education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,atncrse,"Improve knowledge/skills: course/lecture/conference, last 12 months",Courses and skill improvement,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,anctrya1,"First ancestry, European Standard Classification of Cultural and Ethnic Groups",Ancestry and ethnic classification,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,anctrya2,"Second ancestry, European Standard Classification of Cultural and Ethnic Groups",Ancestry and ethnic classification,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,regunit,Regional unit,Geographical region classification,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,region,"Region, [country]",Geographical region classification,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective Wellbeing,stflife,How satisfied with life as a whole,Public Satisfaction,,,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,happy,"Taking all things together, how happy would you say you are?",well-being,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,sclmeet," how often do you meet socially with friends, relatives or work colleagues?",well-being,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,sclact,"Compared to other people of your age, how often would you say you take part in social activities?",well-being,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,crmvct,Have you or a member of your household been the victim of a burglary or assault in the last 5 years?,safety,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,aesfdrk,How safe do you - or would you - feel walking alone in this area after dark? Do - or would - you feel...,safety,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,health,How is your health in general? Would you say it is...,health,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,hlthhmp,"Are you hampered in your daily activities in any way by any longstanding illness, or disability, infirmity or mental health problem? If yes, is that a lot or to some extent?",health,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Subjective well-being,atchctr,"How emotionally attached do you feel to [country]? Please choose a number from 0 to 10, where 0 means not at all emotionally attached and 10 means very emotionally attached.",national identity,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Subjective well-being,atcherp,And how emotionally attached do you feel to Europe?,national identity,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgblg,Do you consider yourself as belonging to any particular religion or denomination?,religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Subjective well-being,rlgdnm,Which one?,religion,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 11",Subjective well-being,rlgdnbat,Which one? (Austria),religion,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
